category,last_replier,poster,replies,text,topic,views 
Help me!,Owain_Pines,Owain_Pines,5,"Hi everyone, i'm back to bonsai after a failed half attempt a few years ago with a shop purchased &quot;indoor&quot; bonsai. I am new to this forum though and I'm looking for some advice. I have some very young...",Pinus sylvestris branch growth,696
Help me!,Auk,FourtyOunce,1,I was hoping someone has had success growing Stone Pine indoors. I would assume with correct temperatures and supplemental lighting it is possible. Any advice?,tips for growing Stone Pine (Pinus Pinea) indoor,1614
Help me!,Enaisio,Enaisio,0,"Hi everyone ,
I had a quince for nearly a year now and i have so far repotted it ( as soon as i got it) and just cut off an air layer in september wich was succesfull .
I recently noticed these spots...",Japanese quince disease ?,560
Help me!,Nikola990,Nikola990,4,"Hi!

As you can see on the first picture, trunks on the right didn't taper well, so my primary objective is the trunk second from the left. The trunk first on the left is really great, but branched...",Thoughts on this ligustrum,580
Help me!,leatherback,dporter27,10,"I was given a Schleffera Bonsai as a gift. Within a couple of weeks all the leaves fell off and I'm left with 3 sticks. :ohmy:

Is there still hope? Is it dead, or just playing possum?",new to this,1684
Help me!,candeb,candeb,2,"My beloved children seem to be intent on turning me into a bonsai collector. They have, for the 3rd time, sent me a bonsai as a birthday gift, this time a huge azalea. It is beautiful and healthy...",azalea gift,534
Help me!,hmargoss,hmargoss,5,"Hello,

I recently transferred my Japanese Juniper from a small pot to a larger one in order to grow the tree. After removing the old soil and cutting some of the smaller roots, I repotted the tree...",Dying Tree,667
Help me!,leatherback,Jeffrey C Packard,4,"So, this guy was my 1st bonsai. An online purchase shipped from NYC to upstate, ny (wasn't too shocked by travel). Since then I've made all the usual noob mistakes (overwater, underwater, too little...",Calling it; Time of Death 12/04/15 8:18am. Juniper,524
Help me!,Auk,Joeog,3,"Hi,

I've had my bonsai for about 6 months a Chinese elm I believe and in the last month or so it has lost all its leaves and started to get a white brittle mold on the trunk, soil and under the pot,...",White gold loss of leaves,610
Help me!,Auk,mht,2,"i looked through i couple of guides but im still not sure about which species it is. the tag that came with it doesnt specify it , it just says keep it indoors and water it twice a day.
Here are the...","Got a new tree as a gift , need help identifying",579
Help me!,Samantha,Lee Debenham,4,"First of all guys I would like to say a massive hello as I'm a complete newbie!

And please forgive me if this is a recurring thread!

I have a carmona microphylla, (oriental tea tree) his name is...",Hello and desperate for help!,593
Help me!,alainleon1983,maha,1,"Hello! I have a ginseng ficus (i think!) that is in desperate need of reshaping. Does anyone have any suggestions?

I have let it grow freely over two years and, likely as a result of low-lighting,...",Help - Ginseng Ficus Shaping,637
Help me!,Auk,orac,3,"Hi everyone

I am new to the forum and having read some of the posts, you all seam like the kind of people who may be able to help me.

I have a 25yo Black Pine that is very dear to me. Last month we...",Burnt Black Pine,743
Help me!,Treegan,Treegan,12,"Hello all. after a visit to Orlando Florida's Epcot, I became come quite interested in the art of bonsai after seeing some on display. I did a little bit of research online, and have decided to get my...",First Bonsai! Please Help,1869
Help me!,Auk,clueless217,1,"Hello,

I purchased a bonsai tree about 6 months ago. I've never really had any luck keeping plants alive before, and I purchased this at Sam's Club, so I obviously haven't given this too much thought...",General help and tree ID,630
Help me!,Auk,Tracey,1,Hi I recieved a beautiful gift from my daughter for Christmas and it had no tag attached to the pot so I was wondering if anyone could help me identify my tree so I can better care for it please.,Identification,681
Help me!,Kswc2000,Kswc2000,6,"Hello

I have two jumnipers that I don't quite know what to do with for the winter, my area is a zone 5 climate and the coldest temperature In winter is usually -15 and warmest usually 8. It is also...",Unsure about overwintering junipers,652
Help me!,Noam,Noam,3,"Hi and good evening to anyone's reading this!

My name is Noam, and I just moved to a new apartment a few weeks ago, where I decided finally to grow a bonsai tree.
I read some articles in the...",Seeding Ficus - a complete beginner,626
Help me!,ironhorse,vagvolgyi.balazs,8,"Hi Everyone,

First of all, let me introduce myself: I'm Balázs from Hungary. Also new to bonsai.

Secondly,I've been reading up on &quot;how to bonsai&quot; for a while now, but my first plans were to start...",Fukien Tea ugly AF,954
Help me!,alainleon1983,ldsrptcvt,12,I am wondering if my PL/F-42w 6500K &quot;balanced spectrum&quot; fluorescent light is sufficient for my new Ficus b. 'Kiki' tree. This is my first attempt at bonsai (!),lighting for Ficus b. 'Kiki',1912
Help me!,Auk,Celtic Bob,13,"Hello Everyone,
This is my first post and I have yet to own a Bonsai. I have seen conflicting information regarding Indoor/Outdoor trees but wanted to get a better opinion and understanding.
What I...",Indoor and Outdoor Bonsais,1905
Help me!,leatherback,KelVarnsen,12,"Hey guys,

As a complete beginner that is trying to do as much research as I can I would like to say this forum is a wonderful discovery.

I was given a 7 year old Chinese Elm as a gift some 3 weeks...",New chinese elm-need some help!,2134
Help me!,Auk,Darsh,7,"After a quick google of the plants around the house, I realised I have a Jade in one of the rooms.
Seeing how well they can look and how common they are to turn into a Bonsai, I'm really interested in...",Jade,851
Help me!,leatherback,Donners1989,1,"Hi

I have recently been given a bonsai tree and don't know what type it is. If someone could help me it will be much appreciated,

Thanks

Craig",Identifying my tree,703
Help me!,Enaisio,BonsaiTatakai,1,"Konnichiwa my friends. I am a Bonsai padawan looking for a Bonsai Sensei who can help me identify a bonsai tree I received as a Christmas gift.

I was told it is an indoor tree that doesn't flower,...","Please identify my tree, thank you",669
Help me!,Auk,Ryanfuse,3,"Hi everybody,

Happy Christmas to all.

My lovley girlfriend bought me a bice bonsai trio kit by plant theatre. Now although i love this culture and the art I am very very new to this and i would like...",New to this,2025
Help me!,Auk,DanDon,6,"I would like to begin cultivating bonsai. My question is this: Are North American native trees suitable to be cultivated as bonsai?

Most forums and websites I have viewed suggest trees from other...",North American Natives as Bonsai,925
Help me!,BonsaiCarl92,BonsaiCarl92,7,"I received a beautiful bonsai tree today as a Christmas gift. I've been interested in them, but never really researched anything about them. I have a few concerns.

The first is on the exact...",Identification and Beginner's Tips,667
Help me!,Auk,jazzo,14,"Hi guys,
New tonthe forum and new to the bonsai world. My adventure started by chance, one of the chestnuts i was keeping in the cupboard sprouted and i thought to plant it. Sure enough after about 2...","First bonsai, from seed",1772
Help me!,Auk,jesquivel5050,3,"Just bought this bonsai from the flea market yesterday (1/31/16) &amp; have no idea what kind of tree it is so I can give it proper care. I looked at pictures online, stuck between spruce &amp; juniper nana...",What kind of bonsai tree is this?,493
Help me!,silly800,RdyFreddie,15,"Hello

My name is Michael and I am new here,first I would like to say how lucky I feel finding this website and wish everyone well.
I am a noob on Bonsai trees,I currently own a few but my favorites...",Japanese Kingsville Boxwood,2011
Help me!,Auk,Laura5101986,8,Over the past two weeks my banyan ficus tree has dropped almost all of its leaves - it now only has 10 or so leaves left! It started losing a few before we went away for the Christmas holiday (we were...,Ficus bonsai has dropped all leaves,2263
Help me!,leatherback,BonsaiHugo,5,"I've been given two bonsai trees by my girlfriend, I think the first was an oak (?) and not sure what the second was.

The same thing has happened to both. Slowly the leaves have yellowed/browned and...",Struggling with bonsai's,639
Help me!,Auk,Hayleigh,7,Hi I'm holding someone can help me- I was bought the below tree for Christmas and slowly it's looking more and more unwell/ I'm not sure what type of bonsi it is and also not sure how I can make it...,New bonsi need identifying & also Is it ok?,626
Help me!,alainleon1983,SpencerM,29,I recently started a new job and was gifted what appears to be a &quot;Bonsai&quot; plant of the Ficus variety. I put Bonsai in sneer quotes because reading around this website makes me think it may actually be...,"""pre-bonsai"" plant help [ficus][indoor?]",2138
Help me!,Samantha,LloydS,12,"I am sure you guys get TONS of posts like this around this time of the year. But I will appreciate any advice or suggestions.
I never bought a tree or felt the need for one. But I was recently given...","Total Newbie, given tree as a gift",1592
Help me!,leatherback,marymccool,3,I received an outdoor Bonsai for xmas. I live in Pennsylvania. I do not know if I should put it in a cold place for hibernation or start watering it. Thanks!,Outdoor Bonsai for Xmas. Is it hibernating,568
Help me!,khelmi84,khelmi84,15,"Hello - I just got a Bonsai tree as a gift. I am not sure of it's type?
Could you please help me out?

Also the pot has no holes (drainage). There are some yellow leaves and few leaves already dropped...",ID'ing my Tree,1736
Help me!,alainleon1983,GioDami,6,"Hello ppl, here is my carmona mycrophilia. As u see she is withering. It was in a small pot and i put it in the bigger one, in ground soil. How can i stop this process
Maybe I unintentionally damaged...",Withering Carmona,714
Help me!,leatherback,bbr2016,8,"Hello, this is my first bonsai that I'm currently growing indoors. I'm fairly certain it's a juniper, but don't know the exact species. I've read that junipers can't be grown indoors, but I plan to...","First Bonsai (Juniper, Indoor)",755
Help me!,Samantha,koda,3,i got 6 chinese elm seed i soaked in water for 24hrs then put them into an old margrine container with wet paper towel in it put my seeds in and cover with more final wetting and put them in the...,New chinese elm from seed need help. very confused,657
Help me!,Auk,Mojo1014,1,Not to sure what type it is would appreciate help,Need help identifying,525
Help me!,BonsaiLearner,jakefarmer,5,"Hi, I'm new to this and new to Bonsai's

I got brought this the other day from Asda, can anyone tell me what type it is as the box didnt say and any beginers advice would be much appreciated....",Can anyone identify this for me?,686
Help me!,Auk,shramang,4,"It is not a bonsai specific question.

I had bought this wisteria plant on December 20th, 2015 &amp; had planted it on the same day.

The plant was watered weekly, leaving no stagnant water. After around...",trouble with wisteria,625
Help me!,Treed,Treed,6,"Hi there,

My girlfriend decided to buy me a tree she saw in a shop, as she knows I've wanted a bonsai for a while now. But there was nothing to identify it, so I'm unsure how to look after it...","Bonsai as a gift, need to ID",787
Help me!,Auk,jonnybravo,5,"Hi All
My Cousin has purchased a nice Juniper tree about 12 months ago and has kept it indoors all the time he has owned it.He has asked me to try and revive it as I am a keen gardener. I have had it...",juniper dying,561
Help me!,Auk,msfalc1,11,"I am a new bonsai owner and although I've read up on the subject and am listening to advice from professionals, I think that I am killing my portulacaria. When I bought it almost two months ago, it...",Jade (Portulacaria) - Very Sick,1977
Help me!,leatherback,Gail,20,I've been interested in bonsai since I was a teen but all my half hearted attempts ended up in dead trees. I decided to try again this year and be more serious. While I'm waiting for spring and a new...,"Newbie, am I on the right track?",2223
Help me!,,Patrick0595,3,"Hello,

This was given to me last Friday, I was told it was a ficus bonsai. After reading through some of the comments and trying to identify myself, I thought I would make a post so I could be on...",Tree identity,635
Help me!,Auk,Leonidas25,4,"Hello there !

Quiet recently I decided to take up the hobby of bonsai. I decided to start with a olive as a bonsai, but I want you to tell me your opinion on what you think about the tree I already...",Help first bonsai !,566
Help me!,gnod85,gnod85,5,"hi all! I have always been interested in the art of bansai tree keeping but never took action on it.

well, here is my first &quot;bonsai&quot; tree. I say that carefully because I'm not sure what plant this is...","yep, newbie needs help ID-ing",622
Help me!,leatherback,popdelart,1,"Hello,
First timer at BonsaiEmpire community and newbie at Bonsai.
I would like your advice about this Jade plant that I want to salvage as Bonsai:

Found it about a month ago in the trash near a...",Help this newbie salvage a huge Jade plant,540
Help me!,Auk,JR,7,"Hi there, I have just received my first Bonsai tree and now trying to find out how i look after the thing! I know it will take a bit of work, but once i figure the basics and then techniques to...",First Bonsai Tree - Need help!,688
Help me!,,FrisseForgeswithFire,8,"Howdy, folks!

New to bonsai training and trees. I have 3 bonsai: Ponytail Palm, Money Tree, and a Juniper.

I have a beautiful Japanese red maple in my yard that I would like to start a bonsai...",Starting a Red Japanese Maple from a Cut Off,884
Help me!,greggles,greggles,8,"Hi all,

Late last year I trunk chopped a bougainvillea as you can see in the first photo. It exploded with growth which was awesome and since I'm happy with the trunk thickness I've eliminated the...",trunk chopped Bougainvillea - Branch Advice,1228
Help me!,leatherback,DBuchhorn,8,"Hi Everybody, I've been caring for my Ficus Ginseng now for roughly 4 months. I bought it with this white powdery substance on the leaves thinking I could easily wash it off with some water and a fine...",(Help) White powder type substance on leaves.,2229
Help me!,,Jeffrey C Packard,8,"Hello, I have yet another question. I received a Brush Cherry and so far its been holding up pretty well. My question is that some of the new growth appears to be a bit lighter in color and has a waxy...",Brush Cherry - New growth question,543
Help me!,Auk,werdna167,10,"Hello Everyone,

I wanted to see if there was anything I can do to save my first bonsai tree. Little history: When I got the tree back in Nov the leaves quickly fell off because of root rot which i...",Help First Bonsai Tree,1618
Help me!,Samantha,sarahm93,4,"My partner bought be a beautiful bonsai, only 1 year old so that we can care for it together in many coming years. Shortly after we went on a long anticipated trip and I left the bonsai in the care of...",My bonsai is dying,620
Help me!,,UnauthorizedEaterofApples,7,"I was surfing the web the other day and came across the wonderful world of bonsai. I found this kit on UncommonGoods. Actually there is 3 kits, a crepe myrtle, a Japanese elm, and a dawn redwood...",Will This Bonsai Work Indoor?,676
Help me!,BonsaiLearner,Zyxphyr,4,Anyone know what plant is this?,Need help ID-ing,620
Help me!,Kadaffy,Kadaffy,11,"Hello guys,

I've been searching to know what tree is it, but i cant figure this out..

Can anybody help?

Best regards",What is this... please help,1695
Help me!,Auk,arsingh,8,"HELP NEEDED!

We bought a bonsai ficus from IKEA a few years ago. The past year it has suffered
tremendously. The main root has rotted away and we had to cut it off. It was infected
with spider...",Bonsai Ficus dying,908
Help me!,,Osorio,18,I just received a Japanese maple tree and it is in a real small pot and I was thinking of putting it in a bigger pot but I don't know if this is the right time and if it will affect the tree.,Japanese maple help,1685
Help me!,leatherback,slushiepower,8,"I just got a new fukien tea bonsai just a few days ago from a local nursery, it was it perfect shape. I replanted it into a pot a few days ago and now the leaves are all seeming to die, is this...",Newly Replanted Fukien Tea Leaves Dying?,892
Help me!,codeman_11901,Jeffrey C Packard,9,"One more question....

Too much water or am I dealing with some root damage from re-potting too soon after being shipped from CA to NY?",Dwarf Pomegranate - Wilting,624
Help me!,codeman_11901,KimmiVincent,31,"I have purchased 2 Bonsai recently, these are my first 2 ever. Although both look different I am sure they are both Ficus Bonsai. Can someone please confirm this for me and if anyone knows the actual...",what Bonsai do I have?,2268
Help me!,codeman_11901,,8,"Hello all,
I recently found a tree next to my work. I normally would not consider collecting a tree like this but they plan to clear cut the area so the tree would be cut down anyway.

The trunk is...",To collect or not to collect?,625
Help me!,,redlakerocketgrunt,14,i need help id-ing my tree i have a bonsai i bought from the store and it. It has a big grey root and three fat plump split offs it has round shiny green deciduous leafs. I can most likey post a...,Identifying,1628
Help me!,Cnetski,Cnetski,2,"First of all, as a new reader, I have enjoyed all of the insight and tips as I enter into the realm of bonsai growing. Thank you! I have some questions on an initial project...

Location: I live in...",Beginner Questions - Yard Planting on a Tile,659
Help me!,Enaisio,vbgreenthumb2015,14,I am beginner and got my first Ficus 10months ago. Today i changed to soil and re-potted it. I need some advice/suggestion on how should i go about pruning or shaping his tree. I cannot visualize what...,Shaping/Pruning Ficus,1744
Help me!,Samantha,souto,13,"Hi everyone,
I have been trying to take care of an ~5year old Juniper I got from a nursery, for approximately 6 months. At the beginning i kept it indoors in a very well light corner (windows on...",Juniper Tree Drying Branch,1522
Help me!,Joel,Joel,2,"Hello everybody... im new to this site and i recieved a Bonsai tree as a gift..im from South Africa..i want to know what steps to take from here, i dont even know what type of tree it is!! How am i...",New Bonsai Tree,536
Help me!,Auk,chandannaik20,5,"I want to grow a bonsai for a normal tree, how can i do it? is it even possible?
tree i am interested is mango.",how to start,632
Help me!,leatherback,Noodle2,3,What is this? My boss bought it for me and I feel like I'm killing it.,What is this,572
Help me!,leatherback,Lantern,3,"Greetings!

A few days ago my mother has bought me a bonsai tree. I haven't paid that much attention to the care for it at first and I've watered it daily but I've noticed that it's leaves have...",Need help identifying my bonsai tree,539
Help me!,Samantha,ilkerdurak,7,"Hello to all,
I have a mock privet tree. I have been trainin this tree nearly for four years. This year I repotted it in a shallow container. I used pumice and cocopeat mixture as soil. Now my tree...",Phleria Latifolia- Mock Privet,628
Help me!,Auk,Olivia123006,7,"Ok so earlier my mom dropped off a Bosnia that she stated she rescued from a co worker, and since she knows I have a green thumb, I will be able to bring her bk to life. The thing is I have no clue...",What type of Bosnia is she?,664
Help me!,alainleon1983,cosmoselephants2,1,"Hello!

I bought 3 of these forever ago and they came without an ID. Ever since, I've just kept them in a well-draining soil + bright window and fertilized regularly once it became clear how much they...",Is this a ficus?,524
Help me!,Auk,Bunsen33,3,"Perhaps this is a dumb post.

I've been watching YouTube videos of people pruning pre-styled bonsais where they talk you through their thought process. In a number of these videos where they are...",Pruning - Back Budding - Alternating Leaves,636
Help me!,,Justin83,16,"Hello everyone, I'm new here and I'm looking to finally be successful with bonsai.
When I was younger I bought many Chinese elm and always managed to lose them one way or another.

Today at the garden...",Tree I.d please,1726
Help me!,Auk,Metasequoia,16,"Hi, I'm new on this forum and like many other new members I facing some difficulties to identif some bonsai tress. Could I get some help on the three trees on the pictures?",identifying bonsai tree,1549
Help me!,Bunsen33,Bunsen33,5,I picked up a pot of Boxwood plants at big box store fall clearance last year with the plan to try some bonsai techniques on them if they survived the winter. Spring is around the corner and I would...,Boxwood - to group or not?,628
Help me!,,AMomen,4,"Hello!
I've had this beautiful plant for 6 years. I adopted it after finding it abandoned in my apartment building with 2 leaves on it. Have never been able to properly identify it to ensure proper...",Can you help me ID this plant,561
Help me!,bstreet13,bstreet13,10,"Hi,

I started growing Silver Birch bonai's from seeds about this time last year. It's been going well until now and they're about 10/15 cm's tall now but over the past week or so they seemed to be...",Bonai's are drooping and loosing colour,1586
Help me!,,donutguy,2,"So here's the scoop;
my grandfather passed away not long ago leaving me his bonsai. he lived in southern california where it never freezes. I know what I am doing with bonsai since I have cared for...",Juniper bonsai care in winter under odd circumstan,478
Help me!,Enaisio,jocat12,4,Please help me identify this bonsai i really need help,Identify my bonsai,582
Help me!,leatherback,johnj,10,I've had a ficus ginseng growing outside for 6 months and it was doing quite well. Recently the leaves started turning light green and eventually yellowish with dark veins before falling off. I've...,Ficus leaves falling,1888
Help me!,Auk,WaterBoy,1,Madeline was the first non Japanese member of Santa Barbara's Bonsai club. There are 8 spectacular pine trees on this property. They were very drought stressed a year ago but most are showing lots...,Restoration of old trees,482
Help me!,brkirkland22,Thorpe,7,"Hello,

Purchased a Japanese Elm early spring 2015, always kept indoors. Leaves appeared a month after purchase and growth was good for approx 4 months then leaves started to turn brown and drop, new...",Japanese Elm dead,581
Help me!,Samantha,entropy4money,5,"Hi guys,

So this is pretty exciting. I've always wanted a bonsai since I was a kid, but I didn't want to buy a trained old, bonsai for hundreds or even thousands of dollars. I wanted to do it...",Juniper winter questions,620
Help me!,Auk,Maling,4,"This is growing in my back yard, but I have no idea what it may be. I thought someone here might be able to help me identify it. Right now it is about 4 1/2 feet high. I cut it back to the stump...",Tree identification.,614
Help me!,Samantha,john.lowe,6,"Hi just brought a bonsai today from a local supermarket and started doing some research! I figured out its a Fukien Tea and brought some spare bits like feed, pruning scissors and wiring online....",Is this bonsai a disaster?,720
Help me!,Justin83,Justin83,6,What tree is this?,What's this?,630
Help me!,Justin83,9080,4,What type of bonsai is this,What type of bonsaie is this,550
Help me!,Enaisio,,24,"I just bought this chaenomeles for 3 pounds I saw it from the car in a local superstore and I thought I could make a good bonsai , I didn't know if the plant was suitable because my phone was out of...",Good deal ??? chaenomeles,2604
Help me!,Ocean12,Ocean12,4,"Hello All,

I got this bonsai tree as a gift with no care instructions.
Could you please help me to identify the plant in the first place as I have no idea what it is? Also if anyone has any ideas how...",Bonsai gift with no care instrucions,609
Help me!,Nikola990,Nikola990,5,"Hello!

Today I went to a nursery of an acquintance of mine, and got these pines and spruces (although young they were the oldest) so now I'm thinking of potential shohins or mame or whatever people...",Some pine and spruce seedlings,530
Help me!,Auk,Marashi357,1,Just Starting my new hobby. Just bought a new 5 Year old Fukien Tea bonsai tree and was wondering some tips and tricks for basic care. Also i am trying to grow some Japanese Red Maples from seeds but...,Just got a Fukien Tea bonsai,457
Help me!,Samantha,ksukat,8,"Greetings,
I have mentioned that I enjoyed Bonsai trees to my wife. She bought me one from Amazon for Christmas.
It is a juniper in a plastic pot. She also got me a kit with clippers and...",Beginner - Questions about  my juniper,569
Help me!,Henrylanguage2,JohnnyLG,2,I got a Japanese Maple around December last year - and soon after the leafs started turning brownish as though it was drying out. I watered it quite frequently at the start when I got it - first thing...,Japanese Maple need help!,600
Help me!,Auk,Dexter1001,9,"Hello, hope someone can help me! 5 months ago, I brought a Chinese elm 7 year old from Amazon, up until a month ago it was growing really well, then suddenly it drop nearly all its leaves! I contacted...",Elm,709
Help me!,Samantha,Mrzoo,1,I bought this bonsai from bjs but I'm not sure what type of bonsai it is can any one help as I would like to give it the proper care.,Need Bonsai id,491
Help me!,Justin83,shamrock,8,hi can anyone identify my bonsai please.,identify please,594
Help me!,Enaisio,Scaler2000,2,"Hi all,

First time poster, i just bought a bonsai and would like to confirm which species it is.

From what i can tell it might be a bird plum judging by the leaves....",Tree identification,490
Help me!,,Justin83,7,"hi all, my landlord is a farmer and I have found some Blackthorn on his land that he said I am welcome too!-)

Any tips on collecting Them?

I'm planning on digging as large a root ball as I can,...",Collecting Blackthorn yamadori?,1099
Help me!,Chulo,Chulo,9,"Hello,

I am going to make an attempt to grow my very first batch of bonsai trees. I am planning to cultivate these bonsai trees from cuttings.

My questions are:

* What common tree species are...",UK South Coast Tree Cuttings for Indoor Bonsai,606
Help me!,Justin83,Justin83,41,"Hi everyone, I'm in need of a little guidance, I have a maple sapling thats about 15 inch tall with basically four budding twigs about 3-4 mm wide.

How would I go about preparing it for bonsai in the...",Preparing a Japanese maple sapling for bonsai?,3684
Help me!,Auk,Bertdrizzle416,8,Please help me identify this type of bonsai tree :).,Help Identify tree.,690
Help me!,simplysaid,Nandha,4,Hi I have grown this flamboyant tree from seed. It is about six months old. How do I thicken the trunck and also when would be the right time to start pruning it. To get an idea of depth the height...,How to thicken trunck,576
Help me!,Auk,Wheath,12,"I bought this cherry tree in October while visiting FL. It had small cherries on it when I got it. Due to living in MI, the tree was moved indoors. It isnt dead, but does seem to be struggling.

I...",Type of Cherry Tree,1519
Help me!,Auk,Aarontiger,3,Could someone help I.D my tree please.,I.D my tree please,478
Help me!,gabestanley,gabestanley,9,"Hi, I'm new to this website and quite new to the bonsai world. I purchased my tree about 4 months ago, and all I know is that it's 10 years old. I really do love it and want it to be happy (and not...",ID my tree and care questions please,519
Help me!,Auk,Lars0109,6,"Hi all!

I am completely new to the world of bonsai but lately got one as a present. however, i am wondering what type it is, if the soil is good and if you guys have any pruning tips?

I believe it...","Total beginner, please help!",524
Help me!,mark2,mark2,6,I have tropical almond running two years this december but it has no branch.. It bears a leaf one every week. Now its 1.5 feet tall. What should i do to make it branch.. It only grows straight and...,what should i do?,616
Help me!,Samantha,Roejohn,2,"Hello! I am very please to be part of the bonsai empire community.
I have received my very first plant, and I am very excited to be taking care of one!
And I need your help
What bonsai species is...",My very first plant,614
Help me!,,Pepé,2,"I have this &quot; little Cutie&quot; madraine citrus sappling that I've had growing in a pot from a seedling. From the picture you can see that she was grown in a small glass green house, the leaves will...","7yo citrus sappling, rasied from seed",476
Help me!,Tomo,Tomo,3,"Dear everyone ,

My name is Tomo, I live in Tokyo and workin an export company in Tokyo.
I’m very sorry my English is not good.

What I would like to hear is quality standard of AKADAMA (color)...",World Standard of AKADAMA by color,608
Help me!,Auk,flashxml,1,"Hy,
I am new here and new to this bonsai word !
Can someone help me with , it is real seeds ?

Thanks in advnce for your help.",Bonsai Tree japanese sakura seeds !,577
Help me!,fran_02,fran_02,9,"Hi everyone, I am brand new to this forum and need help. I got a small Japanese juniper tree at a local greenhouse around 4 months ago. The tree seemed to be in good health (healthy green, had new...",Japanese juniper turning brittle,1067
Help me!,,Ahrdir,6,"Good evening everyone

I started my first bonsai like 4 months ago. I got a fukien tea bonsai in december 2015. I've always liked plants in general but only started taking care of them like a year...",Fukien Tea - 4/5 years,619
Help me!,simplysaid,,7,"hello all.. a few weeks ago i bought this juniper

it's been cleaned up now ;)

i love the trunk and think it has potential.. but..

i was wondering if i could reposition this now?
the front i would...",Juniper question,4574
Help me!,Auk,Ehardt,3,"Hello everyone!

Just got this big bonsai tree as a gift, and im not able to find the identify it. ive tried doing identify work without any success. it dosent really look like any of the pictures ive...","Tree Identify, Emergency! very Grateful",465
Help me!,leatherback,lordmikau,3,Hi guys! I recently bought this bonsai and they told me it was a type of pine. They said something like Snow-top pine but I can't figure what species it actually is.. anybody can help me out please?...,Identify Please,573
Help me!,leatherback,Js93,1,"Hi,

I think that my new bonsai is a ficus but I don't know which type, can someone help me find?

Thank you",Which subspecies is that?,441
Help me!,Auk,Rmohle,9,"Hello everyone,

I am new to the forum, the website, and the world of bonsai.

I recently took the class that BE offered and learned a lot, but I tend to over think things so of course I have lots of...",This post will be a doozy.. I am New to EVERYTHING,611
Help me!,OmarKhairy,jamesjustin33,7,Hi there! I bought this little guy from a gallery and shop in Kanazawa's geisha district last Fall. This is what it looked like at the shop on 11/25/2015. I was told it is about 10 years old but not...,Can you help ID my little tree?,588
Help me!,Natureboy563,Natureboy563,4,My mom gave me this and I want to create a upright bonsai with it but I am not sure the species or if it is a good fit I also have this rose of Sharon that I wanted to attempt to use for bonsai .can...,Species and is it good for a bonsai,555
Help me!,Samantha,Auk,7,"This is a picture of the other tree I got for free. This one too seems to have been neglected quite some time, the branches have not been pruned and have become too long. The trunk is nice and thick -...",The other free tree,935
Help me!,Dominion,rolex,4,"Planning on visiting several Ontario nurseries and I have a question.

I've spent the good part of the day reading, and came across several blogs like this one...",Do outdoor species grow in the ground or in a pot?,560
Help me!,Auk,Darsh,5,"I collected a tree which was one of a few that had been chopped to clear an area.
A few weeks ago it started sprouting shoots so I was happy it was still alive :)
I pinched them all back except for...","After chop, how much is dead/alive?",505
Help me!,Samantha,Shinxy,2,"Hello all, i need some advice on what to do. I inherited a bonsai tree that was sadly neglected for a few years before I got it. Half of the tree is green and alive and the other is dead, I think. I...",Half dead tree,593
Help me!,Auk,SmallTree,12,"Hi guys, I am new to the forum!

My bonsai tree is not doing so well. :dry: I got my bonsai tree in December from a great local bonsai tree grower that has been in business for 30+ years. The owner...",Help!,1640
Help me!,Auk,bartkoppelmans,7,"Hello everyone,

Recently (around christmas) I received a bonsai tree as a present. About a week ago, I forgot to water and it was dried out. I soaked the soil and misted the leaves, but the tree has...","Help, bonsai turning yellow and losing leaves",782
Help me!,spacelysprockets,spacelysprockets,9,"Hi,

Any suggestions on the below would be much appreciated.

My wife and I received an 8 year old fukien tea tree as a wedding present in September last year. For the first few months it was doing...",Fukien tea tree - losing leaves & white substance,2126
Help me!,leatherback,FicusCaricaLover,12,I am not blessed with a big yard so I have to keep my bonsai indoors. I have currently a decent amount of bonsai in training and I recently came across some really attractive bonsai material in the...,Ginkgo Indors...?,1953
Help me!,BonsaiNewbs,Kortney,18,Greetings. I was gifted a cute little bonsai tree a few weeks ago by a friend. She said the leaves were browning and maybe I could help it since I'm experienced with orchids. Orchids are not trees so...,ID & Browning Leaves Help,1718
Help me!,Dominion,Beatmastapat,2,Looks great though!,"Someone help id this tree, I have no clue",462
Help me!,Samantha,Daniel,2,"Dear All,

I have got this plant as a gift but since I don't know anything about bonsais, I don't even know what type of bonsai it is and how to take care of it.

Could you please help me identificate...",Could you please identificate my plant,557
Help me!,brkirkland22,somewareman,4,"How's it going everyone? I'm completely new to the art of bonsai, having just started last year. I'm living in Cincinnati, Ohio and I've collected a fair amount of young trees so far: 2 unidentified...",Moving Temperate Trees to Sub-Tropical Climate,706
Help me!,Samantha,rolex,23,"Hey folks, greetings from Toronto. Today outside the liquor store I bought this potted plant off a little old man running a nursery out of his home. Although he described it as a bonsai tree, I can...",What did I buy? I love it.,2230
Help me!,Auk,milo,6,I recently bought a Prunus Mume from a local nursery it t's listed as 18 yrs. When I got it it was a bare tree and now after 6 weeks it is in full leaf. I presume from all that have read that the...,Japanese flowering apricot,1153
Help me!,Auk,Rockibo12,8,I keep it outdoors have had it for several months now never had been able to identify what type of bonsai it is,please identify my bonsai if a bonsai?,929
Help me!,Wisebonsai,Wisebonsai,20,"Foliage is wine red now and I was told it will turn green as seasons change. 7 pointed lobes. Anyone know the variation is called? Acer palmatum _____?
Some styling/pruning/wiring suggestions are also...",Maple ID and styling help,1983
